sport,direction,pick_type,prop,bin_index,mean_pred,mean_true,gap,n_stratum,flagged
MLB,OVER,Goblin,Walks,1,0.451,1.0,0.5489999999999999,156,True
MLB,OVER,Goblin,Walks,2,0.5293249999999998,0.3611111111111111,0.16821388888888872,156,True
MLB,OVER,Goblin,Walks,3,0.5479454545454544,0.45454545454545453,0.09339999999999987,156,True
MLB,OVER,Goblin,Walks,4,0.7140799999999999,0.4666666666666667,0.24741333333333326,156,True
MLB,OVER,Goblin,Walks,5,0.9739374999999999,0.5625,0.4114374999999999,156,True
MLB,OVER,Goblin,Walks Allowed,0,0.34730370370370367,0.6851851851851852,0.33788148148148156,592,True
MLB,OVER,Goblin,Walks Allowed,1,0.43749090909090904,0.5454545454545454,0.10796363636363637,592,True
MLB,OVER,Goblin,Walks Allowed,2,0.5155533333333341,0.6952380952380952,0.17968476190476113,592,True
MLB,OVER,Goblin,Walks Allowed,3,0.5209,0.6428571428571429,0.12195714285714288,592,True
MLB,OVER,Goblin,Walks Allowed,4,0.5430559322033895,0.7966101694915254,0.25355423728813586,592,True
MLB,OVER,Goblin,Walks Allowed,6,0.7557382352941173,0.6470588235294118,0.10867941176470552,592,True
