player_norm,espn_athlete_id
macaulay gillesphey,227435
matty godden,237985
adilson malanda,312130
conor coady,156365
dael fry,223792
lloyd jones,186298
alex bangura,284035
cruz ibeh,415129
harvey knibbs,259283
kaheim dixon,382139
law mccabe,373375
luke berry,138507
micah hamilton,310597
reece burke,197924
josh edwards,262796
alfie jones,240589
haji wright,220474
david cornell,131897
ellis simms,282647
ephron mason-clark,246954
jack rudoni,286967
jack walton,218225
jahnoah markelo,328043
romain esse,356208
brandon thomas-asante,240495
victor torp,256015
alfie devine,306013
ben wilson,169619
carl rushworth,307069
daniel jebbison,312182
josh eccles,277614
lewis dobbin,296615
michael smith,180496
milos lukovic,370771
yang min-hyeok,371578
tatsuhiro sakamoto,302002
milutin osmajic,275444
andrew hughes,10176
andrew moran,307126
andrija vukcevic,221307
benjamin whiteman,223590
bobby thomas,303931
brad potts,173744
callum lang,240158
jamal lewis,243720
jamie allen,177607
jay dasilva,246309
jordan thompson,223046
jordan storey,241314
lewis gibson,261431
liam kitching,269341
liam lindsay,179624
matt grimes,191337
milan ewijk,281139
noah mawene,324412
frank onyeka,258491
pol valentin,261531
thierry small,313009
ali mccann,240722
jake bidwell,143533
luke woolfenden,261083
odeluga offiah,308243
robert brady,153310
kitt nelson,373819
alan lescano,336485
facundo jainikoski,404537
alejo veliz,318291
diego porcel,382948
emiliano viveros,318247
hernan lopez,160646
jaminton campaz,255295
lautaro giaccone,309474
leandro fernandez,40376
nicolas oroz,195711
gabriel florentin,288739
gaspar duarte,383010
julian fernandez,335238
sebastian prieto,218629
emanuel coronel,262567
enzo gimenez,252571
federico navarro,279977
federico fattori,187475
francisco alvarez,269818
franco paredes,290507
gaston avila,285885
ignacio ovando,400123
leandro lozano,338991
roman riquelme,318179
vicente pizarro,289076
gaston veron,270364
angel maria,108223
alexis soto,202499
carlos quintana,105823
claudio bravo,235873
cristian ferreira,252098
enzo copetti,241544
enzo perez,127319
fabricio oviedo,342003
gino infantino,309471
giovanni cantizano,383012
ivan morales,242437
joaquin gho,311120
kevin coronel,361410
lucas gomez,361411
luciano sanchez,220097
santiago segovia,383017
marco ruben,114906
matias gimenez,101537
ryoga kida,345269
tobias ramirez,337436
tomas molina,233932
erik godoy,172540
agustin sandez,307599
juan komar,199960
juan gimenez,338923
gaston bouhier,408142
leandro paredes,153115
alexis cuello,283675
tomas aranda,400359
adam bareiro,252629
matias reali,335510
miguel merentiel,260812
